place,Lat,Long,December,September,OverallAverage,October,November,January,February,March,April
0,28.55949579,76.84454575,179.1477093,47.42430279,101.1673303,116.6865672,211.3452211,136.2505734,42.81521739,24.11804009,51.55101103
200,28.56349579,76.84454575,111.2546934,51.64752791,73.63671226,86.52575196,119.5206259,99.55240027,46.06905263,41.77025232,32.75339367
201,28.55949579,76.84454575,118.1728013,21.5,21.5,,,,,,
321,28.56149579,76.84800985,125.0909091,60.8,79.63771602,80.6,143.6,96.20950324,63.4,35.52631579,31.875
441,28.55949579,76.85147396,119.4545455,66.8,81.37413727,92.30498534,162.75,98,45.97297297,36.48837209,29.22222222
562,28.55749579,76.85493806,113,49.8,72.53150664,96.6,124.125,86,46.44444444,33.7826087,30.5
681,28.55949579,76.85840216,62,48,56.40392648,61,68,62.5,51.32748538,42,
682,28.55549579,76.85840216,113,48.8,74.37604167,113,157.625,60.33333333,46,24.75,31.5
797,28.57749579,76.86186626,69.66666667,55.07905138,102.7613564,106.1885965,180.1111111,,,,
802,28.55749579,76.86186626,117.9689737,27.71886121,73.4568944,96.41176471,144.3,85.1,54.6,35.55555556,26
916,28.57949579,76.86533036,101.5,81.7,96.43703703,106.1111111,,,,,
917,28.57549579,76.86533036,128.875,43.8988764,118.6963761,120.5116279,181.5,,,,
921,28.55949579,76.86533036,134.6666667,106,169.3557699,273.8636364,287.6043165,108.6666667,,,105.3333333
1037,28.57749579,76.86879446,121.5,53.5,117.5714286,123.2857143,172,,,,
1038,28.57349579,76.86879446,152.6666667,58.88461538,127.1055624,121.8709677,175,,,,
1041,28.56149579,76.86879446,107.5,50.72727273,62.53780375,75,92.07277628,70,44.4,31.41666667,29.18571429
1042,28.55749579,76.86879446,129.4642857,55.08083832,83.01307743,150.2648305,137.75,76.04545455,60.90745501,31.40425532,23.1875
1158,28.57149579,76.87225857,141.2,58.76470588,124.0983193,119.4285714,177,,,,
1159,28.56749579,76.87225857,189.3811765,39.10746269,75.03513939,117.9,92.58684211,55.25,59.25,27.6056338,19.2
1160,28.56349579,76.87225857,66.57142857,43.72131148,46.27172189,32.25,66,57.14285714,46.51975684,34.36842105,23.6
1278,28.57349579,76.87572267,70.5,43.16666667,53.99345657,62.75,71,84,42.23098592,26.1,32.2
1279,28.56949579,76.87572267,49.5,35.46875,40.81337086,45.125,,55.75,33.875,37.724846,28.25
1396,28.57949579,76.87918677,110.3846154,33.39111111,68.41198389,74.84210526,95,100.4399441,67.57142857,39,26.66666667
1397,28.57549579,76.87918677,90.9752322,60.48908297,62.16673303,68.23529412,92.39823009,92.71428571,46.52173913,23,23
1409,28.52749579,76.87918677,120.1759818,,10,,,,,10,
1514,28.58949579,76.88265087,149.3767313,48,130.8378941,194.9407745,,190.205298,,71.66666667,
1515,28.58549579,76.88265087,99.66666667,56.32643678,84.14365146,84.73333333,190.1843972,150.3353474,30.3030303,35.6,26
1516,28.58149579,76.88265087,119,56.10526316,58.42350644,81.42857143,81.95769231,53.72619048,31.66666667,30.50366748,13
1528,28.53349579,76.88265087,61,,44.15714286,33,42,69.5,53,34,16.6
1529,28.52949579,76.88265087,72.34724541,35.7150655,62.56508253,90.6969147,128.4386503,75.75381264,47.25123153,35.77453027,14.54320988
1632,28.59549579,76.88611497,32,39.96825397,37.75198413,51.66666667,,,36,29.125,
1633,28.59149579,76.88611497,98.03355705,59.16780045,62.63779705,88.41318328,,55.4,36.33333333,38.47890819,
1648,28.53149579,76.88611497,46,,53.5,,,,61,,
1649,28.52749579,76.88611497,73.64285714,49,53.2784817,51.8,85,66.69565217,45.45,33.63934426,21
1650,28.52349579,76.88611497,47,48,45.21428571,,73.5,66,38,33.5,10.5
1752,28.59749579,76.88957907,152.6745562,48.23076923,78.35104182,76.33333333,63.33333333,181.3653846,48.89777778,19,36.97318008
1770,28.52549579,76.88957907,78.15384615,28.85714286,55.82663795,73.98550725,98.17241379,66.69230769,46.87234043,33.925,19.95454545
1867,28.61549579,76.89304318,88.62820513,59.08108108,92.57114467,63.63235294,155,,,,
1868,28.61149579,76.89304318,99.1025641,33.8,32.48333334,31.16666667,,,,,
1869,28.60749579,76.89304318,109.5769231,52.5,39.58333334,26.66666667,,,,,
1870,28.60349579,76.89304318,120.0512821,32.5,28.91666667,25.33333333,,,,,
1871,28.59949579,76.89304318,130.525641,46,124.7967213,94.6,233.7901639,,,,
1872,28.59549579,76.89304318,141,35.25,72.62334315,86.11340206,91,76,51,28,
1889,28.52749579,76.89304318,110.21875,,71,,71,,,,
1890,28.52349579,76.89304318,79.4375,32.25,54.08181204,66.14285714,101.3846154,64.48,40.0952381,33.46428571,15.4
1987,28.61749579,76.89650728,94.71267773,39.2,84.01904762,50.85714286,162,,,,
1988,28.61349579,76.89650728,109.9878555,48.33333333,71.61111111,37,129.5,,,,
1992,28.59749579,76.89650728,125.2630332,51.47959184,71.29618807,67.28717472,123.423913,90.5,51.55555556,31.61023622,29.25
2010,28.52549579,76.89650728,77,36.5,59.91621061,89.11111111,105.5925926,69.51219512,45.56756757,35.42857143,20.61764706
2111,28.59949579,76.89997138,111.2962963,106.5979381,72.91685169,83.91082803,81.11363636,103.2416918,54.72850679,17.11258278,25.33333333
2129,28.52749579,76.89997138,78.34782609,34.54545455,57.91478978,100.5555556,80.76315789,65.54545455,50.26086957,36.13333333,17.16666667
2130,28.52349579,76.89997138,75.55769231,29.51685393,57.63764357,87.43159609,99.24193548,65.66216216,45.34782609,36.98058252,21.3625
2232,28.59749579,76.90343548,113.8077922,41.6875,70.31819402,74.16161616,117.6495375,106.5724382,48.74216028,29.32917706,30.59533074
2240,28.56549579,76.90343548,158,,158,,,,,,
2243,28.55349579,76.90343548,80.55,47.14285714,82.06715369,129.6666667,,70.90909091,,,
2249,28.52949579,76.90343548,68.79591837,36.90909091,62.3480717,78.90909091,137.4651163,63,57.71428571,37.42857143,18.5625
2250,28.52549579,76.90343548,78.75,36.31578947,60.37965576,71.48148148,106.8148148,69.9375,53.39393939,39.46,26.88372093
2351,28.59949579,76.90689958,100,79.62121212,83.60017072,126.1832061,157.5,83.22222222,58.42857143,38.84615385,25
2357,28.57549579,76.90689958,104.6,28.19298246,28.19298246,,,,,,
2358,28.57149579,76.90689958,109.2,47.6,117.98125,238.125,,77,,,
2359,28.56749579,76.90689958,125,48.85714286,115.5892857,187.5,,101,,,
2360,28.56349579,76.90689958,97.83333333,48.33333333,123.5416667,247,,101,,,
2361,28.55949579,76.90689958,123.4285714,44.75,136.2946429,149.5,,227.5,,,
2362,28.55549579,76.90689958,154.25,37.66666667,106.4791667,172.5,,61.5,,,
2363,28.55149579,76.90689958,151.4457831,46.68,119.6078347,206,,74.30555556,,,
2364,28.54749579,76.90689958,230,39,153.6666667,192,,,,,
2368,28.53149579,76.90689958,76.02040816,34.68965517,56.73931705,62.80769231,93.66666667,73.55737705,52.31481481,41.08433735,19.77358491
2369,28.52749579,76.90689958,91.71428571,33.25,53.22321429,13,98,74,48,42.57142857,25.25
2471,28.60149579,76.91036368,99,43.72727273,53.91404159,54.81538462,,76.5,40,38.25,25.1056338
2472,28.59749579,76.91036368,218.8863636,37.84615385,105.6804628,111.1854839,165.4285714,94.16666667,53.25,59,
2475,28.58549579,76.91036368,51,41,46.5,,,47.5,,,
2476,28.58149579,76.91036368,54.66666667,44.5,57.1984127,,,72.42857143,,,
2477,28.57749579,76.91036368,107.2857143,47,87.44642858,131.5,,64,,,
2478,28.57349579,76.91036368,63,32,52.55555556,,,62.66666667,,,
2485,28.54549579,76.91036368,82.5,32,57.25,,,,,,
2486,28.54149579,76.91036368,87,30,100.6666667,185,,,,,
2487,28.53749579,76.91036368,102.5,42.33333333,63.60714286,144,,51.75,60,33.5,11.16666667
2488,28.53349579,76.91036368,83.19672131,29.49861496,60.24788377,71.89189189,100.2307692,79.14516129,51.49152542,43.21495327,23.31343284
2591,28.59949579,76.91382778,156.242236,47.609375,79.74156234,108.2520325,113.542522,91.96875,46.79166667,45.59734513,27.92857143
2592,28.59549579,76.91382778,47.4,46.55555556,45.61561303,,,51.3,,37.20689655,
2593,28.59149579,76.91382778,155.0224719,53,84.0408254,,,86.25,,41.89082969,
2594,28.58749579,76.91382778,63,54.33333333,61.55555555,,,67.33333333,,,
2595,28.58349579,76.91382778,155,56,105.5,,,,,,
2598,28.57149579,76.91382778,178,,178,,,,,,
2606,28.53949579,76.91382778,128.1190476,27.81889764,48.75296588,,,87.44,,31,
2607,28.53549579,76.91382778,78.23809524,43.4,66.19620115,99.42857143,122.4756944,79.1625,52.2826087,24.41547278,30.16666667
2608,28.53149579,76.91382778,84.2147923,,77,,,77,,,
2711,28.60149579,76.91729189,90.19148936,45.65591398,66.86039854,88.19172113,100.2301887,82.06451613,71.10769231,33.31666667,24.125
2712,28.59749579,76.91729189,76.83333333,79.3125,73.60416667,,,64.66666667,,,
2728,28.53349579,76.91729189,88.875,37.8,65.5252046,102.8292011,112.5,80.91176471,53.10526316,31.9929078,16.1875
2825,28.62349579,76.92075599,195.6,,179.8788557,200.3333333,181.5820896,,,142,
2831,28.59949579,76.92075599,59.20720721,51.28205128,61.96428231,69.975,106,93.66666667,51.66666667,36.25,27.66666667
2847,28.53549579,76.92075599,85.61111111,35.71428571,62.30307492,74.45,94.87215909,74.17241379,58.1,45.62962963,29.875
2848,28.53149579,76.92075599,80.80851064,34.11111111,63.03439836,87.19047619,104.7741935,69,56.85365854,38.74311927,32.79411765
2946,28.62149579,76.92422009,229.6666667,,207.0416667,209,186.5,203,,,
2951,28.60149579,76.92422009,103,45.45454545,73.3429023,107.4854369,137.1666667,80.18181818,52.64705882,33.30769231,27.5
2966,28.54149579,76.92422009,78.42857143,36.90909091,62.07276058,95.08333333,120.989011,72.28571429,37.6,36.65,18.63636364
2967,28.53749579,76.92422009,79.3125,25.14197531,55.1747868,61.33333333,89.77272727,67.6984127,52.71052632,40.734375,24.69444444
2968,28.53349579,76.92422009,69.5,,69.49729437,,133,68.25,63.09090909,57.14285714,26
2969,28.52949579,76.92422009,92.1875,,87.52916667,,,65.4,,105,
3066,28.61949579,76.92768419,156.3333333,,136.7666667,242.5,184,49,,52,
3070,28.60349579,76.92768419,114.1612903,48.7,75.58612651,82.7173913,146.0588235,97.38888889,54.15384615,35.84210526,25.66666667
3074,28.58749579,76.92768419,100.0658602,,50,50,,,,,
3076,28.57949579,76.92768419,85.9704301,,64,,,,,64,
3084,28.54749579,76.92768419,71.875,35.2,59.12539093,103.25,105.75,75.44444444,34.72727273,33.92307692,12.83333333
3085,28.54349579,76.92768419,72.1,42.61538462,54.83142397,60.09090909,96.5,65.64705882,45.93333333,37,18.76470588
3087,28.53549579,76.92768419,110.7142857,,85.04283295,,121,97.24390244,90.06666667,54.23214286,37
3088,28.53149579,76.92768419,116.6666667,,99.38027921,,138.1666667,108.9795918,112.6666667,72.46875,47.33333333
3186,28.62053726,76.93049647,63.33333333,,49.56666667,35.8,,,,,
3187,28.61749579,76.93114829,146.0465116,,105.0984335,43.72222222,172,58.625,,,
3188,28.61349579,76.93114829,198.3333333,,161.5833333,216,184,48,,,
3190,28.60549579,76.93114829,119.44,59.20994475,100.4932922,87.73972603,289.2066667,92.27272727,97.72727273,35.35,23
3191,28.60149579,76.93114829,107.7270588,,53,53,,,,,
3194,28.58949579,76.93114829,96.01411765,,53,53,,,,,
3195,28.58549579,76.93114829,84.30117647,,152.6666667,152.6666667,,,,,
3204,28.54949579,76.93114829,72.58823529,32.66666667,56.87217284,81.57142857,100.08,69.84615385,43.79310345,34.87179487,19.56
3208,28.53349579,76.93114829,213.5,,124.3583333,,138,128.125,128.125,55,83.4
3209,28.52949579,76.93114829,217,,146.0481685,,248.5,119.0769231,129.7692308,81.14285714,80.8
3307,28.61549579,76.93461239,140,,73.5,,,73.5,,,
3308,28.61149579,76.93461239,69,,93,,160,50,,,
3310,28.60349579,76.93461239,77.22222222,44.41666667,62.193981,67.07692308,93.33333333,75.4,61,33,46.1027027
3311,28.59949579,76.93461239,105.8194444,,65.4,65.4,,,,,
3312,28.59549579,76.93461239,134.4166667,,63.625,63.625,,,,,
3313,28.59149579,76.93461239,163.0138889,,77,77,,,,,
3315,28.58349579,76.93461239,191.6111111,,71,71,,,,,
3316,28.57949579,76.93461239,220.2083333,,180.5,180.5,,,,,
3317,28.57549579,76.93461239,248.8055556,,52.25,52.25,,,,,
3318,28.57149579,76.93461239,277.4027778,,51.625,51.625,,,,,
3319,28.56749579,76.93461239,306,,306,,,,,,
3322,28.55549579,76.93461239,76.71428571,38.47058824,56.54918023,83.91318328,99.6,71.4,33.23076923,32.68,16.38461538
3323,28.55149579,76.93461239,73.23529412,26.69230769,50.42560932,78,79.63636364,59.88888889,38.11111111,31.09090909,16.75
3328,28.53149579,76.93461239,120.9285714,,102.633708,,146.2,116.8125,125.9411765,72.92,33
3428,28.61349579,76.9380765,230,,159.5,202,179.5,92,,94,
3430,28.60549579,76.9380765,109.1226415,41.7791411,71.48607335,77.18181818,137.9411765,87.70666667,60.6,33.7,23.85714286
3432,28.59749579,76.9380765,99.0681716,,65.33333333,65.33333333,,,,,
3436,28.58149579,76.9380765,89.0137017,,66.4,66.4,,,,,
3440,28.56549579,76.9380765,78.9592318,,329,,,329,,,
3442,28.55749579,76.9380765,68.9047619,35.17241379,55.23029297,82.96153846,98.52631579,68.38461538,41.55555556,29.85714286,16.48
3449,28.52949579,76.9380765,114.7,,89.45467836,,120.2,101.7333333,100.2,62.39473684,37.5
3544,28.6268576,76.9427257,192.5166667,20.33333333,15.36666667,,,,,,10.4
3548,28.61149579,76.9415406,270.3333333,,168.4666667,95,199,150.3333333,,127.6666667,
3549,28.60749579,76.9415406,111.8780488,45.03703704,75.46757037,81.35353535,135.7747989,102.6,58.60714286,38.24,30.25
3560,28.56349579,76.9415406,56.875,37.89473684,50.53150023,63.84615385,71.625,74.77777778,46.65,36.75,15.83333333
3561,28.55949579,76.9415406,64.5,22.66666667,62.60257324,70.08333333,176.832618,67.64705882,55.55555556,27.44444444,16.09090909
3569,28.52749579,76.9415406,110.9333333,,80.7869769,,112.3333333,99.59090909,88.83333333,45.38095238,27.65
3655,28.66549579,76.9450047,143.5685072,69.29166667,88.50849937,100.8,118.3953488,110.8054523,80.98656215,63.31169872,20.90875912
3656,28.66149579,76.9450047,102.75,48.55555556,71.07083333,93.41666667,107.7333333,88.2,42,56.8,29.11111111
3665,28.62549579,76.9450047,110.7965687,46.65686275,54.24356582,,69.61111111,97,36.375,63.45,12.36842105
3669,28.60949579,76.9450047,118.8431373,53.45333333,81.20545929,81.16901408,173.7407407,98.23529412,57.39130435,41.62903226,25.18181818
3680,28.56549579,76.9450047,66,26.17647059,52.84922229,66.75,92.375,73.3,45.46153846,32.96153846,19.76923077
3689,28.52949579,76.9450047,111.2,,78.19206348,,105.3333333,103.1428571,64.33333333,35.14285714,50
3776,28.65949579,76.9484688,72.8,56.65,53.30975885,32.25,90.1875,56.33333333,53.27152318,43.78571429,21.2
3777,28.65549579,76.9484688,122.6666667,73.45833333,81.21124313,82.60606061,123.7179487,109.2,57,43.77777778,37.26315789
3778,28.65149579,76.9484688,122.0944445,74,46.5,,,,,,19
3784,28.62749579,76.9484688,121.5222223,35.33333333,86.16666667,,,,,137,
3785,28.62349579,76.9484688,120.95,,175.5,,175.5,,,,
3789,28.60749579,76.9484688,120.3777778,56.04651163,84.98974567,89.91780822,157,109.3548387,59.53571429,41.45454545,46.23076923
3798,28.57149579,76.9484688,72.53846154,34.15789474,55.73508491,70.10526316,93.83333333,74.94444444,46.23809524,36.67857143,17.38461538
3799,28.56749579,76.9484688,70.77777778,37.83333333,59.66830547,87.5,94.09090909,84.625,47.08333333,34.57894737,20.85714286
3809,28.52749579,76.9484688,118.047619,,70.82506084,,100.3157895,92.08695652,52.75,35.25,26.5
3898,28.65349579,76.9519329,114.375,59.80555556,69.63759742,88.45454545,108.1282051,67.275,53.33333333,47.63157895,18.09756098
3899,28.64949579,76.9519329,114.4,65.8125,73.54783072,87.21212121,104.1860465,89.30769231,56.71428571,42.41666667,28.33333333
3905,28.62549579,76.9519329,115.625,,69.93333333,,,160,26,,23.8
3909,28.60949579,76.9519329,116.85,55.01818182,79.42218414,101.6041667,144.4615385,101.5357143,54.44827586,28.18181818,33.27777778
3912,28.59749579,76.9519329,97.04404762,,89,,,,,89,
3918,28.57349579,76.9519329,77.23809524,32.97142857,55.12294902,73.43478261,67.54761905,79.45833333,49.20833333,34.925,26.2
3919,28.56949579,76.9519329,47,,75,,,,103,,
3929,28.52949579,76.9519329,92.80645161,,61.65531037,,92.60416667,80.5,47.61904762,33.30645161,23.09574468
4018,28.65149579,76.955397,99.71572581,,61,,,,61,,
4019,28.64749579,76.955397,106.625,64.8852459,85.8224663,92.64285714,120.122807,196.6253444,46.375,34.05347594,25.25
4020,28.64349579,76.955397,111.3541667,,19,,,,19,,19
4025,28.62349579,76.955397,116.0833333,58.57142857,71.61428571,39.5,,147.5,69,,43.5
4029,28.60749579,76.955397,120.8125,57.87179487,86.56811536,97.24,169.8095238,103.4230769,61.23076923,45.03225806,37.125
4036,28.57949579,76.955397,81.8125,34.375,65.30331387,108.8461538,95,77.07142857,56.71428571,45.52380952,23.08333333
4037,28.57549579,76.955397,106.4,35.35294118,73.14947917,97.375,128.4166667,94.9375,64.4,44.64705882,13.66666667
4038,28.57149579,76.955397,74.2,,64,64,,,,,
4039,28.56749579,76.955397,42,,75,,,,108,,
4048,28.53149579,76.955397,117.7662338,44.33333333,66.99462331,43.36363636,106.1481481,66.29166667,77,50.91111111,30.14285714
4102,28.79749579,76.95886111,115.6996754,,120.3333333,,81,86,,194,
4107,28.77749579,76.95886111,113.6331169,,104,,104,,,,
4138,28.65349579,76.95886111,111.5665585,,144,,,,144,,
4140,28.64549579,76.95886111,109.5,68.35294118,78.83124372,74.05555556,113.2692308,126.2222222,81,45.25,13
4141,28.64149579,76.95886111,113.6896552,72.25531915,90.53827856,99.72222222,128.1219512,180.8928571,55.92857143,37,36.69565217
4142,28.63749579,76.95886111,84,116,79.8,,,,138,41,20
4146,28.62149579,76.95886111,90,59.3,71.2625,,,118,76,,31.75
4149,28.60949579,76.95886111,99.14754098,60.10344828,84.02234479,110.5681818,158.4857143,105.5,53.53191489,45.07272727,39.76923077
4154,28.58949579,76.95886111,78,51.3,64.89706214,81.2,106.2857143,74.60606061,66.3125,42.25,19.22222222
4155,28.58549579,76.95886111,60.09090909,40.0375,44.82164311,38.27272727,65,45.75,51.77777778,36.76923077,20.875
4156,28.58149579,76.95886111,79.73333333,36.25,68.72387153,114.71875,116.5,80.2,57.33333333,43.55555556,21.5
4159,28.56949579,76.95886111,343.5,,208,72.5,,,,,
4160,28.56549579,76.95886111,398,,236.5,75,,,,,
4167,28.53749579,76.95886111,108.6,28,63.53986743,62,85.57142857,99.0952381,75.7,34.625,14.72727273
4168,28.53349579,76.95886111,136.3636364,35,90.87848801,147,141.625,87.95454545,97.72222222,40.5625,40.8
4220,28.80349579,76.96232521,100,38,78.08666667,,191.1666667,96.66666667,38,,26.6
4221,28.79949579,76.96232521,92,40,65.02154195,,133.2222222,83.66666667,25,50.42857143,30.83333333
4222,28.79549579,76.96232521,92.45454545,28,52.38888889,,127,87,23,35.33333333,14
4223,28.79149579,76.96232521,92.90909091,29,53.76,,81,88,,42,28.8
4224,28.78749579,76.96232521,93.36363636,16,57.77777778,,164.6,88,20,36.66666667,21.4
4225,28.78349579,76.96232521,93.81818182,31,51.52777778,,138,80.5,20,29.66666667,10
4226,28.77949579,76.96232521,94.27272727,,30.07058824,,,,19,34.8,36.41176471
4227,28.77549579,76.96232521,94.72727273,34,41.34666667,,,86,19,32.4,35.33333333
4228,28.77149579,76.96232521,95.18181818,23.5,42.8,,,88,18,39.5,45
4236,28.73949579,76.96232521,95.63636364,,86,,,86,,,
4237,28.73549579,76.96232521,96.09090909,36,43.0625,,,83,,43.25,10
4238,28.73149579,76.96232521,96.54545455,24,41.375,,,84.5,,43,14
4240,28.72349579,76.96232521,97,22,44.66666667,,,,,40.66666667,19
4241,28.71949579,76.96232521,87.66666667,32,63.44206349,,147.25,84.11111111,20,48.4,24.66666667
4242,28.71549579,76.96232521,91.5,,73.63888889,,143,91,23.5,71.33333333,21.5
4261,28.63949579,76.96232521,108.9090909,67.08571429,79.89700826,89.73170732,107.578125,125.8,82.5,33.57142857,24
4262,28.63549579,76.96232521,114.5609756,65.54385965,77.39819594,82.9047619,108.2769231,105.0714286,57.26666667,40.0625,45.49845201
4265,28.62349579,76.96232521,122.3600948,,61.47058824,,,,,,61.47058824
4266,28.61949579,76.96232521,130.1592141,59.23076923,127.4222756,,220.8333333,164.625,65,,
4269,28.60749579,76.96232521,137.9583333,53.58064516,85.42128688,124.84,138.5294118,104,50.78571429,37.34285714,36.33333333
4272,28.59549579,76.96232521,165.1428571,42.6,91.42747253,132.0769231,156,104.8,71.8,33.7,25.3
4273,28.59149579,76.96232521,108.6923077,34.27272727,77.22742119,115.8,114.5,103,68.53846154,40.23809524,32.77777778
4277,28.57549579,76.96232521,112.7087912,,62,,,,,62,
4279,28.56749579,76.96232521,116.7252747,56.51315789,80.45332536,121.3483871,133.1946309,74.76582278,54.67727273,44.54751131,41.85454545
4280,28.56349579,76.96232521,116.7857143,53.9375,79.19825098,96.73913043,121.9090909,79,71.375,48.29411765,45.54545455
4284,28.54749579,76.96232521,192.8846154,148.75,139.3598051,94.35714286,209.4324324,194.5625,160.4166667,93.04651163,21.42857143
4285,28.54349579,76.96232521,91.44444444,21,58.03174603,84.5,74.55555556,91.44444444,61.80952381,23.13636364,16.36363636
4286,28.53949579,76.96232521,109.125,,67.07227891,92,85,82.16666667,54.5,25.71428571,21
4340,28.80549579,76.96578931,98.5,33,78.23384354,,168.375,121.6666667,42,59.42857143,24.66666667
4349,28.76949579,76.96578931,95,20,25.83333333,,,,18,,39.5
4350,28.76549579,76.96578931,91.5,31,49.5,,,86,,40,41
4351,28.76149579,76.96578931,88,,47,,,,18,76,
4352,28.75749579,76.96578931,84.5,,75,,,,,75,
4355,28.74549579,76.96578931,81,,69.3125,,66.5,91,,38.75,
4356,28.74149579,76.96578931,79,,37.8,,,,,37.8,
4359,28.72949579,76.96578931,75,21,81.22671958,,218.0555556,87.33333333,,61.57142857,24.4
4360,28.72549579,76.96578931,74,21,53.06666667,,,90,,55.33333333,25
4362,28.71749579,76.96578931,105,,68.41666667,,120,81,25,47.66666667,
4383,28.63349579,76.96578931,119.6923077,82,118.0090294,91.59375,135.3611111,263.4440895,146.3024055,53.25,52.42857143
4384,28.62949579,76.96578931,117.3636364,65.11363636,83.70630325,91.73469388,113.04,108.8333333,95.46428571,48.57142857,29.52941176
4385,28.62549579,76.96578931,116.5598846,,40.42857143,,,,,,40.42857143
4387,28.61749579,76.96578931,115.7561328,65.4375,118.534375,,198,150.3,60.4,,
4389,28.60949579,76.96578931,114.952381,59.94,78.25576856,103.9230769,108.7094188,100.4833333,55.26146789,42.83529412,39.94117647
4392,28.59749579,76.96578931,139.2608696,50.2,92.65024879,137.8367347,142.65,126.1666667,73,46.66666667,25.42105263
4397,28.57749579,76.96578931,130.2327366,,87,,,,,87,
4399,28.56949579,76.96578931,121.2046036,,19.5,,,,19.5,,
4400,28.56549579,76.96578931,112.1764706,60.52173913,77.36523212,90.6875,133.5,82.76190476,59.76666667,49.59090909,29.91666667
4401,28.56149579,76.96578931,98.85365854,56.11428571,77.23554828,106.0212766,133.8611111,88.54411765,61.98947368,40.0375,32.46296296
4405,28.54549579,76.96578931,154.7924528,147.625,106.6118008,97.51428571,198.260274,130.2222222,74.46153846,36.71428571,13.30434783
4409,28.52949579,76.96578931,144.1078167,,110.5,110.5,,,,,
4410,28.52549579,76.96578931,133.4231806,,82,82,,,,,
4411,28.52149579,76.96578931,122.7385445,,104.5,104.5,,,,,
4459,28.80749579,76.96925341,112.0539083,28,77.44444444,,168.3333333,97.33333333,34,103,34
4471,28.75949579,76.96925341,101.3692722,,11,,,,,,11
4472,28.75549579,76.96925341,90.68463611,,80.25,,152,85,,73,11
4474,28.74749579,76.96925341,80,34.5,55.07619048,,78.5,83.5,18,51.83333333,39.2
4482,28.71549579,76.96925341,91,37,64.43333333,,,91,,78.66666667,24.5
4504,28.62749579,76.96925341,113.9545455,67.71428571,79.70268157,92.6875,118.255814,100.5833333,59.4,60.57142857,24.45454545
4505,28.62349579,76.96925341,106.5142857,59.84848485,94.82504294,97.42307692,140.3669725,239.192029,56.25,39.07692308,19.92857143
4507,28.61549579,76.96925341,101.0041488,70.33333333,69.19444443,,,149.4444444,49,,8
4508,28.61149579,76.96925341,95.49401198,50.18918919,82.19947714,94.32352941,163.6956522,119.3888889,57.45454545,44.05,33
4509,28.60749579,76.96925341,123,60.2,112.2666667,120.3333333,151,63,211,57.33333333,
4510,28.60349579,76.96925341,103.3846154,41.05555556,79.10403575,96.04255319,135.9375,111.4545455,64.16666667,55.23529412,25.55555556
4511,28.59949579,76.96925341,112.4444444,46.88888889,87.92484949,141.942029,143.9166667,99.78571429,79,49.42105263,30
4516,28.57949579,76.96925341,100,,17,17,,,,,
4520,28.56349579,76.96925341,79.69230769,50.85714286,67.90978466,79.44444444,97,77.18181818,48.33333333,47.76923077,63
4521,28.55949579,76.96925341,119.2926829,47.125,81.70523897,102.46875,140.3478261,88.4137931,73.21052632,46.2,36.58333333
4524,28.54749579,76.96925341,151.5,,82.75,,,166,,11.5,2
4525,28.54349579,76.96925341,145.3333333,48.55555556,86.40108129,108.0508475,149.6153846,120.4130435,63.84615385,30.81538462,24.57894737
4526,28.53949579,76.96925341,136.0666666,,110.5,110.5,,,,,
4527,28.53549579,76.96925341,126.8,,114.5,114.5,,,,,
4528,28.53149579,76.96925341,117.5333333,,80,80,,,,,
4529,28.52749579,76.96925341,108.2666667,,88,88,,,,,
4580,28.80549579,76.97271751,99,57,69.09047619,,128.3333333,84,28,59.8,27.5
4593,28.75349579,76.97271751,96.5,,83.9,,135,84,24,80,
4594,28.74949579,76.97271751,84.5,20,58.85,,,83.5,,57.25,49
4595,28.74549579,76.97271751,100,30,30,,,,,,
4603,28.71349579,76.97271751,108,,120.3125,,231,98,,44.25,
4626,28.62149579,76.97271751,109.525,67.48717949,89.6936835,107.1627907,131.1522843,113.15,92.15384615,72,24.91836735
4627,28.61749579,76.97271751,119,69.64285714,87.59172141,72.66666667,130.2307692,131.4,67.5,69.04347826,41.25
4628,28.61349579,76.97271751,118,44.5,28.25,,,,,,12
4629,28.60949579,76.97271751,116.8197674,64.60209424,82.7196529,107.6857143,145.5571429,106.1034483,38.87723785,46.43,35.68181818
4630,28.60549579,76.97271751,113.9534884,71.9893617,83.0811957,85.66666667,108.7777778,108.5384615,93.23333333,52.96666667,29.52380952
4635,28.58549579,76.97271751,106,76,76,,,,,,
4642,28.55749579,76.97271751,99.6446281,48.88297872,69.15205998,86.01136364,120.1956522,83.9047619,53.65,38.61940299,22.30769231
4643,28.55349579,76.97271751,96.07692308,30,55.46280166,68.5,82.5,86.06666667,45,24.55882353,11
4644,28.54949579,76.97271751,97.33333333,25.66666667,55.93698157,69.14285714,81.5,98,39.8,23.83870968,12.21428571
4645,28.54549579,76.97271751,130.1818182,33.75,71.1074953,78.3,120.2272727,103,52.18518519,31.33333333,19.88235294
4699,28.80749579,76.97618161,120,,99,,,99,,,
4700,28.80349579,76.97618161,103.5,,78.34027778,,143.5,87.375,39,62.5,34.16666667
4713,28.75149579,76.97618161,80,,86.16666667,,86.5,,,92,
4714,28.74749579,76.97618161,89,,69.8,,106,81,,44,29
4716,28.73949579,76.97618161,89,23,23,,,,,,
4723,28.71149579,76.97618161,90,29,83.125,,155,86.75,,98.5,39.5
4733,28.67149579,76.97618161,98.816609,,112,112,,,,,
4740,28.64349579,76.97618161,107.633218,35,35,,,,,,
